VATTENID,MS_CD,EU_CD,VF,NAMN,LOKAL,Region,Ndatum1,DATUM1,Anno,KVALITET,BONETYP,NBONET,NpueBtotal,NpueBAbb,NpueBGäd,NpueBMör,NpueBRöd,Narter,Nrader,RT90X,RT90Y,S99TM_N,S99TM_E,WGS84_N,WGS84_E
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20100919,2010,Inven,Bnord12,40,77.25,48.75,0.00,22.35, ,8,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20110919,2011,Inven,Bnord12,40,32.43,18.50,0.00,12.03, ,5,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20120916,2012,Stand,Bnord12,40,40.48,19.85,0.00,18.75, ,4,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20130915,2013,Stand,Bnord12,40,73.00,35.05,0.00,34.23, ,8,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20140921,2014,Stand,Bnord12,40,82.73,43.75,0.00,36.60, ,6,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20150920,2015,Stand,Bnord12,40,45.78,28.23,0.00,12.73, ,5,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20160918,2016,Stand,Bnord12,40,59.43,31.08,0.10,25.13, ,8,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20170918,2017,Stand,Bnord12,40,123.80,90.13,0.00,31.50, ,5,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20180910,2018,Stand,Bnord12,40,84.48,60.85,0.00,17.73, ,6,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20190915,2019,Stand,Bnord12,40,114.35,85.78,0.03,24.13, ,7,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20200914,2020,Stand,Bnord12,40,101.23,78.65,0.03,20.13, ,8,10,6196260,1355650,6193026,406084,55.87356,13.49899
619626-135565,WA84415746,SE619626-135565,Y,Östra Ringsjön,Hela sjön,Södra,12,20210913,2021,Stand,Bnord12,40,100.83,66.60,0.00,29.03, ,8,10,6196260,1355650,6193026,406084,55.87356,13.49899
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20020916,2002,Stand,Bnord12,24,195.33,75.83,0.00,114.92, ,6,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20060918,2006,Stand,Bnord12,24,238.79,122.46,0.13,107.00, ,6,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20070909,2007,Stand,Bnord12,24,109.04,43.50,0.00,54.58, ,4,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20090909,2009,Stand,Bnord12,24,135.25,76.25,0.00,51.42, ,5,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20100914,2010,Inven,Bnord12,24,197.13,126.17,0.13,59.21, ,6,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20110913,2011,Stand,Bnord12,24,211.50,147.50,0.00,58.96, ,5,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20120909,2012,Stand,Bnord12,24,164.04,72.67,0.04,84.25, ,6,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20130908,2013,Stand,Bnord12,24,215.83,120.04,0.04,88.63, ,6,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20140916,2014,Stand,Bnord12,24,232.08,117.88,0.04,105.21, ,6,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20150915,2015,Stand,Bnord12,24,157.38,100.92,0.04,53.33, ,6,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20160913,2016,Stand,Bnord12,24,305.63,184.21,0.04,111.96, ,6,11,6200620,1352240,6197344,402625,55.91165,13.44218
620062-135224,WA55412723,SE620062-135224,Y,Västra Ringsjön,Hela sjön,Södra,16,20170911,2017,Stand,Bnord12,24,133.58,81.25,0.04,41.71, ,7,11,6200620,1352240,6197344,402625,55.91165,13.44218
