"VattenID","Vattenkategori","VariabelID","Bedömningsår","Årsvärde","Standardfel","Trendvärde","Antal provtagningstillfällen","Andel regionala data"
"SE638705-130519","Station","Vattendrag antal arter",1984,3,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1986,4.666666666666667,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1988,2.5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1989,4,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1990,3,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1991,3.5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1992,3.5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1993,2.5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1994,3,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1995,3,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1996,3.6666666666666665,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1997,4.333333333333333,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1998,3,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",1999,4,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2000,3,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2001,2.5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2003,4,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2004,3,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2005,3,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2006,4,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2007,4.5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2008,4.666666666666667,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2009,4.5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2011,5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2012,4.5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2013,5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2014,5,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2015,4,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2017,4.666666666666667,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2019,4.333333333333333,,,1,0
"SE638705-130519","Station","Vattendrag antal arter",2022,3.6666666666666665,,,1,0
"SE638705-130519","Station","Vattendrag öring",1984,42.75,,56.728681694636926,1,0
"SE638705-130519","Station","Vattendrag öring",1986,48.86666666666667,,53.562626463177764,1,0
"SE638705-130519","Station","Vattendrag öring",1988,53.400000000000006,,50.367755976146654,1,0
"SE638705-130519","Station","Vattendrag öring",1989,79.75,,48.71769041656811,1,0
"SE638705-130519","Station","Vattendrag öring",1990,38.65,,47.016243724511114,1,0
"SE638705-130519","Station","Vattendrag öring",1991,62.5,,45.27189727093604,1,0
"SE638705-130519","Station","Vattendrag öring",1992,42.2,,43.495377826663606,1,0
"SE638705-130519","Station","Vattendrag öring",1993,21.700000000000003,,41.706890876967634,1,0
"SE638705-130519","Station","Vattendrag öring",1994,59.5,,39.92544932370664,1,0
"SE638705-130519","Station","Vattendrag öring",1995,55.95,,38.15998108473124,1,0
"SE638705-130519","Station","Vattendrag öring",1996,31.7,,36.43200437336048,1,0
"SE638705-130519","Station","Vattendrag öring",1997,30.96666666666667,,34.77600462624924,1,0
"SE638705-130519","Station","Vattendrag öring",1998,16.85,,33.22658635519092,1,0
"SE638705-130519","Station","Vattendrag öring",1999,28.25,,31.81154797661902,1,0
"SE638705-130519","Station","Vattendrag öring",2000,23.25,,30.54813368750775,1,0
"SE638705-130519","Station","Vattendrag öring",2001,15.9,,29.446616719302252,1,0
"SE638705-130519","Station","Vattendrag öring",2003,42.333333333333336,,27.73360808085769,1,0
"SE638705-130519","Station","Vattendrag öring",2004,13.066666666666668,,27.109166863885008,1,0
"SE638705-130519","Station","Vattendrag öring",2005,13.366666666666669,,26.638433402855558,1,0
