"VattenID","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år"
"SE638705-130519","Station","Vattendrag antal arter",,,
"SE638705-130519","Station","Vattendrag öring",-1,0.0065,-0.8583
"SE638705-130519","Station","Vattendrag totalmängd fisk",0,0.2478,0.8333
"SE640085-138148","Station","Vattendrag antal arter",,,
"SE640085-138148","Station","Vattendrag öring",-1,8e-4,-0.669
"SE640085-138148","Station","Vattendrag totalmängd fisk",0,0.9349,-0.0137
"SE622950-143450","Station","Vattendrag antal arter",,,
"SE622950-143450","Station","Vattendrag lax",0,0.1382,-1.0004
"SE622950-143450","Station","Vattendrag öring",-1,0.0015,-0.2571
"SE622950-143450","Station","Vattendrag totalmängd fisk",0,0.8356,-0.1554
"SE633316-146198","Station","Vattendrag antal arter",,,
"SE633316-146198","Station","Vattendrag lax",0,0.1382,-1.0004
"SE633316-146198","Station","Vattendrag öring",-1,0.0015,-0.2571
"SE633316-146198","Station","Vattendrag totalmängd fisk",0,0.8356,-0.1554
"SE705844-168354","Station","Vattendrag antal arter",,,
"SE705844-168354","Station","Vattendrag öring",1,0.0198,0.7068
"SE705844-168354","Station","Vattendrag totalmängd fisk",1,0.0348,1.0666
"SE705968-168204","Station","Vattendrag antal arter",,,
"SE705968-168204","Station","Vattendrag öring",1,0.009,1.1778
"SE705968-168204","Station","Vattendrag totalmängd fisk",0,0.222,0.6667
"SE695998-156845","Station","Vattendrag antal arter",,,
"SE695998-156845","Station","Vattendrag öring",-1,6e-4,-0.4714
"SE695998-156845","Station","Vattendrag totalmängd fisk",0,0.3005,0.1282
"SE714074-567612","Station","Vattendrag antal arter",,,
"SE714074-567612","Station","Vattendrag öring",1,0.031,0.0476
"SE714074-567612","Station","Vattendrag totalmängd fisk",0,0.8659,-0.024
"SE641911-139532","Station","Vattendrag antal arter",,,
"SE641911-139532","Station","Vattendrag öring",1,0,2.5669
"SE641911-139532","Station","Vattendrag totalmängd fisk",1,0,2.1585
"SE706176-733260","Station","Vattendrag antal arter",,,
"SE706176-733260","Station","Vattendrag öring",0,0.9506,0.0075
"SE706176-733260","Station","Vattendrag totalmängd fisk",0,0.9136,0.0154
"SE707116-166548","Station","Vattendrag antal arter",,,
"SE707116-166548","Station","Vattendrag lax",1,2e-4,0.0819
"SE707116-166548","Station","Vattendrag öring",0,0.3634,0.7778
"SE707116-166548","Station","Vattendrag totalmängd fisk",0,0.2442,1.1375
"SE709557-170877","Station","Vattendrag antal arter",,,
"SE709557-170877","Station","Vattendrag öring",0,0.6352,0.1991
"SE709557-170877","Station","Vattendrag totalmängd fisk",0,0.9056,0.051
"SE627958-134477","Station","Vattendrag antal arter",,,
"SE627958-134477","Station","Vattendrag öring",-1,0,-0.5846
"SE627958-134477","Station","Vattendrag totalmängd fisk",-1,0.001,-0.9125
