"VattenID","Vattenkategori","VariabelID","Bedömningsår","Årsvärde","Standardfel","Trendvärde","Antal provtagningstillfällen","Andel regionala data"
"SE671742-158974","Flodmynning","Medelavrinning",1969,292,,279.53125097688934,,0
"SE671742-158974","Flodmynning","Medelavrinning",1970,304,,284.7451887517315,,0
"SE671742-158974","Flodmynning","Medelavrinning",1971,277,,290.017883682121,,0
"SE671742-158974","Flodmynning","Medelavrinning",1972,262,,295.40921499617065,,0
"SE671742-158974","Flodmynning","Medelavrinning",1973,287,,300.9765485798699,,0
"SE671742-158974","Flodmynning","Medelavrinning",1974,285,,306.75750612335474,,0
"SE671742-158974","Flodmynning","Medelavrinning",1975,277,,312.77087136058844,,0
"SE671742-158974","Flodmynning","Medelavrinning",1976,152,,319.0077118651866,,0
"SE671742-158974","Flodmynning","Medelavrinning",1977,398,,325.3942408566279,,0
"SE671742-158974","Flodmynning","Medelavrinning",1978,257,,331.78548501589455,,0
"SE671742-158974","Flodmynning","Medelavrinning",1979,298,,338.027553255516,,0
"SE671742-158974","Flodmynning","Medelavrinning",1980,330,,343.9618455553494,,0
"SE671742-158974","Flodmynning","Medelavrinning",1981,390,,349.42717561559397,,0
"SE671742-158974","Flodmynning","Medelavrinning",1982,346,,354.2926837540515,,0
"SE671742-158974","Flodmynning","Medelavrinning",1983,354,,358.47285646573147,,0
"SE671742-158974","Flodmynning","Medelavrinning",1984,365,,361.9168192926665,,0
"SE671742-158974","Flodmynning","Medelavrinning",1985,533,,364.5989318952694,,0
"SE671742-158974","Flodmynning","Medelavrinning",1986,453,,366.53495822390903,,0
"SE671742-158974","Flodmynning","Medelavrinning",1987,493,,367.79720289566654,,0
"SE671742-158974","Flodmynning","Medelavrinning",1988,395,,368.50054110699176,,0
"SE671742-158974","Flodmynning","Medelavrinning",1989,312,,368.7763947490771,,0
"SE671742-158974","Flodmynning","Medelavrinning",1990,354,,368.7449494759016,,0
"SE671742-158974","Flodmynning","Medelavrinning",1991,323,,368.4985736117223,,0
"SE671742-158974","Flodmynning","Medelavrinning",1992,326,,368.1046624823285,,0
"SE671742-158974","Flodmynning","Medelavrinning",1993,356,,367.6098720220472,,0
"SE671742-158974","Flodmynning","Medelavrinning",1994,313,,367.0450407549798,,0
"SE671742-158974","Flodmynning","Medelavrinning",1995,410,,366.43050911390725,,0
"SE671742-158974","Flodmynning","Medelavrinning",1996,235,,365.77890807034146,,0
"SE671742-158974","Flodmynning","Medelavrinning",1997,330,,365.09771603421865,,0
"SE671742-158974","Flodmynning","Medelavrinning",1998,418,,364.3848679315178,,0
"SE671742-158974","Flodmynning","Medelavrinning",1999,353,,363.6345199077896,,0
"SE671742-158974","Flodmynning","Medelavrinning",2000,542,,362.84358006337555,,0
"SE671742-158974","Flodmynning","Medelavrinning",2001,434,,362.0143975043061,,0
"SE671742-158974","Flodmynning","Medelavrinning",2002,350,,361.15821867345664,,0
"SE671742-158974","Flodmynning","Medelavrinning",2003,278,,360.2907704265581,,0
"SE671742-158974","Flodmynning","Medelavrinning",2004,254,,359.42509396551077,,0
"SE671742-158974","Flodmynning","Medelavrinning",2005,291,,358.56743881204306,,0
"SE671742-158974","Flodmynning","Medelavrinning",2006,418,,357.717166906149,,0
"SE671742-158974","Flodmynning","Medelavrinning",2007,257,,356.8704098925582,,0
"SE671742-158974","Flodmynning","Medelavrinning",2008,374,,356.0224248342826,,0
"SE671742-158974","Flodmynning","Medelavrinning",2009,444,,355.16728965089345,,0
"SE671742-158974","Flodmynning","Medelavrinning",2010,426,,354.299789994829,,0
"SE671742-158974","Flodmynning","Medelavrinning",2011,337,,353.4181262237207,,0
"SE671742-158974","Flodmynning","Medelavrinning",2012,457,,352.5231804617582,,0
"SE671742-158974","Flodmynning","Medelavrinning",2013,254,,351.6172650000213,,0
"SE671742-158974","Flodmynning","Medelavrinning",2014,433,,350.70345509609575,,0
"SE671742-158974","Flodmynning","Medelavrinning",2015,425,,349.7844110026353,,0
"SE671742-158974","Flodmynning","Medelavrinning",2016,286,,348.86388251117796,,0
"SE671742-158974","Flodmynning","Medelavrinning",2017,261,,347.9467776449255,,0
"SE671742-158974","Flodmynning","Medelavrinning",2018,303,,347.0361554369758,,0
"SE671742-158974","Flodmynning","Medelavrinning",2019,356,,346.1319145470217,,0
"SE671742-158974","Flodmynning","Medelavrinning",2020,370,,345.23193831506774,,0
"SE671742-158974","Flodmynning","Medelavrinning",2021,408,,344.3338286136217,,0
"SE683661-156793","Flodmynning","Medelavrinning",1969,14.7,,14.40384515462965,,0
"SE683661-156793","Flodmynning","Medelavrinning",1970,18.7,,14.6885316374184,,0
"SE683661-156793","Flodmynning","Medelavrinning",1971,16,,14.977524627303985,,0
"SE683661-156793","Flodmynning","Medelavrinning",1972,9,,15.277610981249103,,0
"SE683661-156793","Flodmynning","Medelavrinning",1973,11.4,,15.595991054903111,,0
"SE683661-156793","Flodmynning","Medelavrinning",1974,14.2,,15.934955140471779,,0
"SE683661-156793","Flodmynning","Medelavrinning",1975,16.9,,16.291697947325822,,0
"SE683661-156793","Flodmynning","Medelavrinning",1976,10.1,,16.660933811517662,,0
"SE683661-156793","Flodmynning","Medelavrinning",1977,18.4,,17.03543480994204,,0
"SE683661-156793","Flodmynning","Medelavrinning",1978,16.5,,17.405036830318426,,0
"SE683661-156793","Flodmynning","Medelavrinning",1979,15.2,,17.75915376903378,,0
"SE683661-156793","Flodmynning","Medelavrinning",1980,15.7,,18.08757589519249,,0
"SE683661-156793","Flodmynning","Medelavrinning",1981,22,,18.379775769773005,,0
"SE683661-156793","Flodmynning","Medelavrinning",1982,21,,18.62655529338515,,0
"SE683661-156793","Flodmynning","Medelavrinning",1983,21,,18.822548812128808,,0
"SE683661-156793","Flodmynning","Medelavrinning",1984,17.8,,18.96645109120899,,0
"SE683661-156793","Flodmynning","Medelavrinning",1985,26,,19.059392544494237,,0
"SE683661-156793","Flodmynning","Medelavrinning",1986,24,,19.104519562932662,,0
"SE683661-156793","Flodmynning","Medelavrinning",1987,25,,19.107834085647415,,0
"SE683661-156793","Flodmynning","Medelavrinning",1988,20,,19.077903879186177,,0
"SE683661-156793","Flodmynning","Medelavrinning",1989,15.3,,19.024246150925027,,0
"SE683661-156793","Flodmynning","Medelavrinning",1990,11.8,,18.955248353621062,,0
"SE683661-156793","Flodmynning","Medelavrinning",1991,17.8,,18.876576449727658,,0
"SE683661-156793","Flodmynning","Medelavrinning",1992,15.5,,18.791174997084603,,0
"SE683661-156793","Flodmynning","Medelavrinning",1993,21,,18.700494170513174,,0
"SE683661-156793","Flodmynning","Medelavrinning",1994,17.6,,18.605280485392502,,0
"SE683661-156793","Flodmynning","Medelavrinning",1995,24,,18.506248280861413,,0
"SE683661-156793","Flodmynning","Medelavrinning",1996,9.8,,18.404523690169345,,0
"SE683661-156793","Flodmynning","Medelavrinning",1997,13.4,,18.302246581355252,,0
"SE683661-156793","Flodmynning","Medelavrinning",1998,25,,18.199969224291635,,0
"SE683661-156793","Flodmynning","Medelavrinning",1999,18.4,,18.097691810673805,,0
"SE683661-156793","Flodmynning","Medelavrinning",2000,30,,17.99541437095771,,0
"SE683661-156793","Flodmynning","Medelavrinning",2001,25,,17.893136919520902,,0
"SE683661-156793","Flodmynning","Medelavrinning",2002,16.6,,17.790859464950213,,0
"SE683661-156793","Flodmynning","Medelavrinning",2003,10.6,,17.688582012241326,,0
"SE683661-156793","Flodmynning","Medelavrinning",2004,10.8,,17.586304563352716,,0
"SE683661-156793","Flodmynning","Medelavrinning",2005,14.5,,17.48402711836075,,0
"SE683661-156793","Flodmynning","Medelavrinning",2006,18.8,,17.381749676590083,,0
"SE683661-156793","Flodmynning","Medelavrinning",2007,14.6,,17.279472237310575,,0
"SE683661-156793","Flodmynning","Medelavrinning",2008,14.7,,17.177194799945863,,0
"SE683661-156793","Flodmynning","Medelavrinning",2009,18,,17.07491736402472,,0
"SE683661-156793","Flodmynning","Medelavrinning",2010,18.5,,16.972639929155985,,0
"SE683661-156793","Flodmynning","Medelavrinning",2011,17.3,,16.870362495053936,,0
"SE683661-156793","Flodmynning","Medelavrinning",2012,17.8,,16.76808506152574,,0
"SE683661-156793","Flodmynning","Medelavrinning",2013,17.2,,16.665807628438206,,0
"SE683661-156793","Flodmynning","Medelavrinning",2014,15.9,,16.563530195696657,,0
"SE683661-156793","Flodmynning","Medelavrinning",2015,20,,16.461252763230164,,0
"SE683661-156793","Flodmynning","Medelavrinning",2016,13.3,,16.358975330985373,,0
"SE683661-156793","Flodmynning","Medelavrinning",2017,10.1,,16.25669789892364,,0
"SE683661-156793","Flodmynning","Medelavrinning",2018,22,,16.15442046699776,,0
"SE683661-156793","Flodmynning","Medelavrinning",2019,15.9,,16.052143035151865,,0
"SE683661-156793","Flodmynning","Medelavrinning",2020,17.2,,15.949865603347565,,0
"SE683661-156793","Flodmynning","Medelavrinning",2021,20,,15.84758817156023,,0
"SE669500-163246","Flodmynning","Medelavrinning",1969,2.7,,2.268924835329998,,0
"SE669500-163246","Flodmynning","Medelavrinning",1970,3.1,,2.3122237851542446,,0
"SE669500-163246","Flodmynning","Medelavrinning",1971,2.1,,2.3608677501963498,,0
"SE669500-163246","Flodmynning","Medelavrinning",1972,1.8,,2.4234147075387567,,0
"SE669500-163246","Flodmynning","Medelavrinning",1973,1.7,,2.5067759788963038,,0
"SE669500-163246","Flodmynning","Medelavrinning",1974,3.3,,2.6116840204316065,,0
"SE669500-163246","Flodmynning","Medelavrinning",1975,2,,2.7337363759016493,,0
"SE669500-163246","Flodmynning","Medelavrinning",1976,1.6,,2.8671583012221324,,0
"SE669500-163246","Flodmynning","Medelavrinning",1977,4.1,,3.000346065476853,,0
"SE669500-163246","Flodmynning","Medelavrinning",1978,3.8,,3.1165441053002265,,0
"SE669500-163246","Flodmynning","Medelavrinning",1979,3.2,,3.203310359055367,,0
"SE669500-163246","Flodmynning","Medelavrinning",1980,3.4,,3.2546262203075758,,0
"SE669500-163246","Flodmynning","Medelavrinning",1981,5,,3.267734714167757,,0
"SE669500-163246","Flodmynning","Medelavrinning",1982,3.2,,3.244987365090686,,0
"SE669500-163246","Flodmynning","Medelavrinning",1983,2.1,,3.1952752885059392,,0
"SE669500-163246","Flodmynning","Medelavrinning",1984,3.3,,3.1277688100972685,,0
