"VattenID","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år"
"SE671742-158974","Flodmynning","Medelavrinning",0,0.0678,1.4
"SE683661-156793","Flodmynning","Medelavrinning",0,0.6342,0.0184
"SE669500-163246","Flodmynning","Medelavrinning",0,0.7009,-0.0029
"SE672915-157210","Flodmynning","Medelavrinning",0,0.6285,-0.0329
"SE703055-166572","Flodmynning","Medelavrinning",0,0.3716,0.0742
"SE693587-158205","Flodmynning","Medelavrinning",0,0.256,0.7446
"SE691743-155984","Flodmynning","Medelavrinning",0,0.1157,0.3793
"SE678924-156862","Flodmynning","Medelavrinning",0,0.1602,0.5477
"SE705438-167938","Flodmynning","Medelavrinning",1,0.0154,0.0926
"SE708979-170865","Flodmynning","Medelavrinning",0,0.3186,0.6277
"SE700773-157350","Flodmynning","Medelavrinning",0,0.187,1.2376
"SE707160-168739","Flodmynning","Medelavrinning",1,0.0233,0.1429
"SE726942-176351","Flodmynning","Medelavrinning",0,1,0
"SE732407-183604","Flodmynning","Medelavrinning",1,0.0016,1.5513
"SE729186-178575","Flodmynning","Medelavrinning",1,6e-4,2.2727
"SE726410-175525","Flodmynning","Medelavrinning",1,0.0412,0.5107
"SE711900-175034","Flodmynning","Medelavrinning",1,0.0362,0.0773
"SE733833-177925","Flodmynning","Medelavrinning",1,0,0.4167
"SE719095-173622","Flodmynning","Medelavrinning",1,0.0039,0.6562
"SE733351-187900","Flodmynning","Medelavrinning",1,5e-4,2.3411
"SE733222-181059","Flodmynning","Medelavrinning",1,0,0.0485
"SE641071-127372","Flodmynning","Medelavrinning",0,0.8037,-0.6853
"SE628877-132040","Flodmynning","Medelavrinning",1,0.0191,0.2282
"SE635136-128895","Flodmynning","Medelavrinning",1,0.0027,0.2957
"SE631338-129833","Flodmynning","Medelavrinning",1,0,0.3732
"SE647582-127369","Flodmynning","Medelavrinning",0,0.3513,0.0113
"SE653621-125394","Flodmynning","Medelavrinning",1,0.002,0.0939
"SE648930-125964","Flodmynning","Medelavrinning",0,0.2077,0.0595
"SE621205-131122","Flodmynning","Medelavrinning",0,0.3282,0.0044
"SE632033-152167","Flodmynning","Medelavrinning",0,0.5826,-0.0225
"SE639339-154122","Flodmynning","Medelavrinning",0,0.8719,0
"SE633520-153920","Flodmynning","Medelavrinning",0,0.8658,0
"SE620277-140091","Flodmynning","Medelavrinning",0,0.1487,0.1592
"SE627831-152255","Flodmynning","Medelavrinning",0,0.7588,0.0041
"SE623006-149119","Flodmynning","Medelavrinning",0,0.2252,0.0159
"SE649673-151838","Flodmynning","Medelavrinning",0,0.9388,0.024
"SE622950-143450","Flodmynning","Medelavrinning",0,0.157,0.0833
"SE658065-162841","Flodmynning","Medelavrinning",0,0.4204,0.3611
"SE652370-156442","Flodmynning","Medelavrinning",0,0.9693,0
"SE671742-158974","Flodmynning","Total kvävebelastning från flodmynningar",0,0.4206,-5.4375
"SE683661-156793","Flodmynning","Total kvävebelastning från flodmynningar",-1,0.0036,-0.5902
"SE669500-163246","Flodmynning","Total kvävebelastning från flodmynningar",0,0.1795,0.144
"SE672915-157210","Flodmynning","Total kvävebelastning från flodmynningar",0,0.1231,-0.6462
"SE703055-166572","Flodmynning","Total kvävebelastning från flodmynningar",0,0.0913,-0.8118
"SE693587-158205","Flodmynning","Total kvävebelastning från flodmynningar",-1,0.001,-19.7243
"SE691743-155984","Flodmynning","Total kvävebelastning från flodmynningar",-1,0,-19.2156
"SE678924-156862","Flodmynning","Total kvävebelastning från flodmynningar",-1,0,-19.6221
"SE705438-167938","Flodmynning","Total kvävebelastning från flodmynningar",-1,0.021,-0.5893
"SE708979-170865","Flodmynning","Total kvävebelastning från flodmynningar",-1,0.0256,-8.2685
"SE700773-157350","Flodmynning","Total kvävebelastning från flodmynningar",-1,0,-19.3908
"SE707160-168739","Flodmynning","Total kvävebelastning från flodmynningar",0,0.1697,-0.6846
"SE726942-176351","Flodmynning","Total kvävebelastning från flodmynningar",0,0.0581,-0.1649
"SE732407-183604","Flodmynning","Total kvävebelastning från flodmynningar",-1,5e-4,-14.3034
"SE729186-178575","Flodmynning","Total kvävebelastning från flodmynningar",-1,0,-24.7564
"SE726410-175525","Flodmynning","Total kvävebelastning från flodmynningar",-1,0.0138,-6.7234
"SE711900-175034","Flodmynning","Total kvävebelastning från flodmynningar",-1,3e-4,-1.045
"SE733833-177925","Flodmynning","Total kvävebelastning från flodmynningar",-1,0,-2.8124
"SE719095-173622","Flodmynning","Total kvävebelastning från flodmynningar",-1,0,-8.9884
"SE733351-187900","Flodmynning","Total kvävebelastning från flodmynningar",0,0.3076,-7.199
"SE733222-181059","Flodmynning","Total kvävebelastning från flodmynningar",-1,7e-4,-0.5542
"SE641071-127372","Flodmynning","Total kvävebelastning från flodmynningar",-1,0,-205.0636
"SE628877-132040","Flodmynning","Total kvävebelastning från flodmynningar",1,0.0261,2.9017
"SE635136-128895","Flodmynning","Total kvävebelastning från flodmynningar",-1,0,-10.5656
"SE631338-129833","Flodmynning","Total kvävebelastning från flodmynningar",0,0.2226,-2.7197
"SE647582-127369","Flodmynning","Total kvävebelastning från flodmynningar",-1,0,-1.1094
"SE653621-125394","Flodmynning","Total kvävebelastning från flodmynningar",-1,0.0078,-1.0359
"SE648930-125964","Flodmynning","Total kvävebelastning från flodmynningar",-1,0.0016,-3.152
"SE621205-131122","Flodmynning","Total kvävebelastning från flodmynningar",-1,0.001,-3.0972
"SE632033-152167","Flodmynning","Total kvävebelastning från flodmynningar",0,0.0775,-1.011
"SE639339-154122","Flodmynning","Total kvävebelastning från flodmynningar",-1,4e-4,-0.5365
"SE633520-153920","Flodmynning","Total kvävebelastning från flodmynningar",0,0.0581,1.3087
"SE620277-140091","Flodmynning","Total kvävebelastning från flodmynningar",-1,0.0437,-4.3937
"SE627831-152255","Flodmynning","Total kvävebelastning från flodmynningar",-1,0.0015,-1.4332
"SE623006-149119","Flodmynning","Total kvävebelastning från flodmynningar",1,0.0138,0.325
"SE649673-151838","Flodmynning","Total kvävebelastning från flodmynningar",-1,8e-4,-12.481
"SE622950-143450","Flodmynning","Total kvävebelastning från flodmynningar",0,0.1176,1.0081
"SE658065-162841","Flodmynning","Total kvävebelastning från flodmynningar",-1,0,-46.452
"SE652370-156442","Flodmynning","Total kvävebelastning från flodmynningar",0,0.3777,0.597
"SE671742-158974","Flodmynning","Belastning lättillgänglig fosfor från flodmynningar",0,0.8841,0.0167
"SE683661-156793","Flodmynning","Belastning lättillgänglig fosfor från flodmynningar",0,0.6619,-0.0025
"SE669500-163246","Flodmynning","Belastning lättillgänglig fosfor från flodmynningar",0,0.9939,-1e-4
"SE672915-157210","Flodmynning","Belastning lättillgänglig fosfor från flodmynningar",-1,0.0074,-0.03
"SE703055-166572","Flodmynning","Belastning lättillgänglig fosfor från flodmynningar",0,0.3642,-0.0157
"SE693587-158205","Flodmynning","Belastning lättillgänglig fosfor från flodmynningar",-1,0.0171,-0.2501
