"VattenID","Vattenkategori","VariabelID","Bedömningsår","Årsvärde","Standardfel","Trendvärde","Antal provtagningstillfällen","Andel regionala data"
"SE651196-137852","Station","Individtäthet alla bottendjur",1982,889.4100000000001,,1185.7085893588307,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1983,817.41,,1214.4562196656937,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1984,1676.7849999999999,,1243.2041126817053,2,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1985,1361.4499999999998,,1271.952407965351,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1986,1595.27,,1300.7010675637318,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1987,1246.67,,1329.4500102193872,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1988,1031.24,,1358.199234617398,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1989,1919.04,,1386.948785856813,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1990,1496.79,,1415.6986694352413,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1991,1829.71,,1444.4488601664996,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1992,1366.8799999999999,,1473.1993773050317,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1993,1659.19,,1501.9502992566743,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1994,895.89,,1530.7017004322336,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1996,1908.76,,1588.2060374726368,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1997,1676.18,,1616.9589984060729,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1998,1162.9,,1645.7125456069737,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",1999,1708.26,,1674.466722790227,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2000,1398.1499999999999,,1703.221529172282,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2001,810.02,,1731.9769415490127,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2002,2184.1,,1760.7329362143619,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2003,2686.7,,1789.4894706625912,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2004,2387.29,,1818.246480123664,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2005,1662.81,,1847.0039345979724,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2006,1582.6100000000001,,1875.7618872967032,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2007,1301.9,,1904.5204244913305,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2008,1598.6399999999999,,1933.279563739204,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2009,1847.27,,1962.039236825814,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2010,2581.08,,1990.7993774417616,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2011,1068,,2019.5599742599966,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2012,1000,,2048.320998910992,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2013,1623,,2077.08231475831,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2014,3941.66,,2105.8437146386113,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2015,2212.5,,2134.6050454278184,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2016,2316.66,,2163.3662412638387,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2017,1834.18,,2192.1272276433833,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2018,2582.5499999999997,,2220.887873171501,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2019,2740.5499999999997,,2249.648111534002,1,1
"SE651196-137852","Station","Individtäthet alla bottendjur",2020,2387.38,,2278.4080774764075,1,1
"SE651196-137852","Station","Individtäthet blötdjur",1982,44.3,,96.61631785387286,1,1
"SE651196-137852","Station","Individtäthet blötdjur",1983,102.85000000000001,,98.57728640136719,1,1
"SE651196-137852","Station","Individtäthet blötdjur",1984,128.57,,100.86414306439417,2,1
"SE651196-137852","Station","Individtäthet blötdjur",1985,113.67999999999999,,103.67733079866565,1,1
"SE651196-137852","Station","Individtäthet blötdjur",1986,54.74,,106.98215608286267,1,1
"SE651196-137852","Station","Individtäthet blötdjur",1987,34,,110.5816337944664,1,1
"SE651196-137852","Station","Individtäthet blötdjur",1988,119.09,,114.22636251722002,1,1
