"VattenID","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år","Andel regionala data"
"SE651196-137852","Station","Individtäthet alla bottendjur",1,0.0011,28.3683,1
"SE651196-137852","Station","Individtäthet blötdjur",1,0.0041,3.028,1
"SE651196-137852","Station","Individtäthet leddjur - insekter",1,0.0147,9.2211,1
"SE651196-137852","Station","Individtäthet leddjur - kräftdjur",0,0.0568,-0,1
"SE651196-137852","Station","Individtäthet ringmaskar",0,0.0628,11.6433,1
"SE651817-138798","Station","Individtäthet alla bottendjur",1,0.0059,19.2593,1
"SE651817-138798","Station","Individtäthet blötdjur",1,0.0103,3.1293,1
"SE651817-138798","Station","Individtäthet leddjur - insekter",0,0.5462,1.8028,1
"SE651817-138798","Station","Individtäthet leddjur - kräftdjur",0,0.186,0.4433,1
"SE651817-138798","Station","Individtäthet ringmaskar",1,0.0443,7.5857,1
"SE633989-140731","Station","Individtäthet alla bottendjur",1,0,193.8167,0
"SE633989-140731","Station","Individtäthet blötdjur",-1,0,,0
"SE633989-140731","Station","Individtäthet leddjur - insekter",1,0,185.8905,0
"SE633989-140731","Station","Individtäthet leddjur - kräftdjur",-1,0.0136,,0
"SE633989-140731","Station","Individtäthet ringmaskar",0,0.4408,-1.0734,0
"SE642489-151724","Station","Individtäthet alla bottendjur",-1,0.0031,-11.1698,0
"SE642489-151724","Station","Individtäthet blötdjur",0,0.4261,-0.2224,0
"SE642489-151724","Station","Individtäthet leddjur - insekter",-1,0.009,-9.7278,0
"SE642489-151724","Station","Individtäthet leddjur - kräftdjur",-1,7e-4,-0.3342,0
"SE642489-151724","Station","Individtäthet ringmaskar",0,0.189,-0.2119,0
"NW627437-149509","Station","Individtäthet alla bottendjur",1,0.0017,19.8758,0
"NW627437-149509","Station","Individtäthet blötdjur",0,0.1491,-0,0
"NW627437-149509","Station","Individtäthet leddjur - insekter",1,0.0015,20.7465,0
"NW627437-149509","Station","Individtäthet leddjur - kräftdjur",0,1,-0,0
"NW627437-149509","Station","Individtäthet ringmaskar",0,0.6515,-0,0
"SE658086-130264","Station","Individtäthet alla bottendjur",0,0.2329,7.267,0
"SE658086-130264","Station","Individtäthet blötdjur",-1,2e-4,,0
"SE658086-130264","Station","Individtäthet leddjur - insekter",0,0.1183,7.7702,0
"SE658086-130264","Station","Individtäthet leddjur - kräftdjur",-1,0.0331,,0
"SE658086-130264","Station","Individtäthet ringmaskar",0,0.1539,-0.3858,0
"NW645343-128665","Station","Individtäthet alla bottendjur",0,0.1183,-12.5741,0
"NW645343-128665","Station","Individtäthet blötdjur",0,0.303,-0.2673,0
"NW645343-128665","Station","Individtäthet leddjur - insekter",0,0.1556,-8.4537,0
"NW645343-128665","Station","Individtäthet leddjur - kräftdjur",0,0.2167,-0,0
"NW645343-128665","Station","Individtäthet ringmaskar",0,0.0643,-0.568,0
"SE651578-146163","Station","Individtäthet alla bottendjur",-1,0,-11.4766,0
"SE651578-146163","Station","Individtäthet blötdjur",-1,1e-4,,0
"SE651578-146163","Station","Individtäthet leddjur - insekter",-1,1e-4,-9.4262,0
"SE651578-146163","Station","Individtäthet leddjur - kräftdjur",-1,0.0013,,0
"SE651578-146163","Station","Individtäthet ringmaskar",-1,0,-1.7822,0
"SE635878-137392","Station","Individtäthet alla bottendjur",0,0.7443,1.7103,0
