"VattenID","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år","Andel regionala data"
"SE626748-148744","Station","Brunhet",-1,0.0164,-0.01861,1
"SE626748-148744","Station","Alkalinitet",0,1,-0,1
"SE626748-148744","Station","Lägsta Syrehalt",0,0.344,0.025,1
"SE626748-148744","Station","pH",1,0.0019,0.01686,1
"SE626748-148744","Station","Siktdjup",0,0.3273,-0.01164,1
"SE626748-148744","Station","Totalt organiskt kol",0,0.1334,0.1257,1
"SE626748-148744","Station","Totalkväve",1,0.0271,4.777,1
"SE626748-148744","Station","Totalfosfor",-1,0.0392,-0.2069,1
"SE626126-148664","Station","Brunhet",-1,0.0164,-0.02073,1
"SE626126-148664","Station","Alkalinitet",0,0.088,-0.001339,1
"SE626126-148664","Station","Lägsta Syrehalt",0,0.7682,0.007738,1
"SE626126-148664","Station","pH",0,0.722,0.001191,1
"SE626126-148664","Station","Siktdjup",0,0.649,-0.004167,1
"SE626126-148664","Station","Totalt organiskt kol",0,0.158,0.125,1
"SE626126-148664","Station","Totalkväve",1,5e-4,7.115,1
"SE626126-148664","Station","Totalfosfor",-1,0.0324,-0.1875,1
"SE633610-145150","Station","Siktdjup",1,0.0092,0.1786,1
"SE632680-145380","Station","Siktdjup",0,0.7568,-1.708e-17,1
"SE630900-143600","Station","Siktdjup",0,0.1491,0.05,1
"SE631950-144750","Station","Siktdjup",0,0.088,0.1,1
"SE630250-143760","Station","Siktdjup",1,0.0036,0.02021,1
"SE630250-143760","Station","Temperatur - vår",0,0.1309,-0.1,1
"SE630475-143615","Station","Brunhet",0,0.7205,-3.75e-4,1
"SE630475-143615","Station","Alkalinitet",1,0.0048,0.01433,1
"SE630475-143615","Station","Konduktivitet",1,0.0026,0.5833,1
"SE630475-143615","Station","Lägsta Syrehalt",-1,2e-4,-0.4077,1
"SE630475-143615","Station","Oorganiskt kväve",0,0.0736,102.4,1
"SE630475-143615","Station","pH",0,0.098,0.0199,1
"SE630475-143615","Station","Lättillgänglig fosfor",0,0.858,0.1523,1
"SE630475-143615","Station","Siktdjup",1,0.0026,0.02329,1
"SE630475-143615","Station","Totalt organiskt kol",0,0.098,-0.09651,1
"SE630475-143615","Station","Totalkväve",-1,0.0043,-79.48,1
"SE630475-143615","Station","Totalfosfor",0,0.2058,-2.215,1
"SE630475-143615","Station","Temperatur - vår",0,0.1275,-0.12,1
"SE630428-144034","Station","Siktdjup",1,0,0.04335,1
"SE630428-144034","Station","Temperatur - vår",0,0.6022,-0.05774,1
"SE630500-143950","Station","Siktdjup",1,0.0077,0.0548,1
"SE630500-143950","Station","Temperatur - vår",0,0.2441,-0.07333,1
"SE627074-148362","Station","Brunhet",-1,0.0164,-0.02185,1
"SE627074-148362","Station","Alkalinitet",0,0.3337,-0.001226,1
"SE627074-148362","Station","Lägsta Syrehalt",-1,0.022,-0.01,1
"SE627074-148362","Station","pH",0,0.9759,1.123e-4,1
"SE627074-148362","Station","Siktdjup",0,0.5959,0.006944,1
"SE627074-148362","Station","Totalt organiskt kol",0,0.3808,-0.0933,1
"SE627074-148362","Station","Totalkväve",1,0.0372,8.374,1
"SE627074-148362","Station","Totalfosfor",0,0.2041,-0.1778,1
"SE628250-148550","Station","Brunhet",-1,0.0335,-0.01684,1
"SE628250-148550","Station","Alkalinitet",-1,1e-4,-0.005315,1
"SE628250-148550","Station","Lägsta Syrehalt",1,0.0062,0.131,1
"SE628250-148550","Station","pH",-1,0.0246,-0.01173,1
"SE628250-148550","Station","Siktdjup",-1,0.0013,-0.01604,1
"SE628250-148550","Station","Totalt organiskt kol",0,0.7407,0.015,1
"SE628250-148550","Station","Totalkväve",1,0.0383,5.885,1
"SE628250-148550","Station","Totalfosfor",0,0.0775,0.15,1
"SE758208-161749","Station","Brunhet",0,0.8472,7.937e-6,0
"SE758208-161749","Station","Alkalinitet",1,1e-4,0.00242,0
"SE758208-161749","Station","Kadmium i vatten",0,0.4807,-1.212e-4,0
"SE758208-161749","Station","Konduktivitet",1,0,0.04356,0
"SE758208-161749","Station","Lägsta Syrehalt",-1,0.0079,-0.0425,0
"SE758208-161749","Station","Oorganiskt kväve",0,0.801,-0.03869,0
"SE758208-161749","Station","Bly i vatten",0,1,-0,0
"SE758208-161749","Station","pH",0,0.0753,0.003455,0
"SE758208-161749","Station","Lättillgänglig fosfor",-1,4e-4,-0.02778,0
"SE758208-161749","Station","Kisel",1,0.0029,8.638,0
"SE758208-161749","Station","Siktdjup",0,0.1028,-0.03571,0
"SE758208-161749","Station","Sulfat",1,0,0.04475,0
"SE758208-161749","Station","Totalt organiskt kol",-1,0.0117,-0.01889,0
"SE758208-161749","Station","Totalkväve",-1,0.0053,-3.302,0
"SE758208-161749","Station","Totalfosfor",-1,1e-4,-0.1414,0
"SE643390-130120","Station","Totalfosfor",0,0.3796,-0.1,1
"SE633989-140731","Station","Brunhet",1,0.0046,0.005467,0
"SE633989-140731","Station","Alkalinitet",0,0.1101,-2.34e-4,0
"SE633989-140731","Station","Konduktivitet",-1,0,-0.06171,0
"SE633989-140731","Station","Lägsta Syrehalt",0,0.186,-0.06,0
"SE633989-140731","Station","Oorganiskt kväve",0,0.6199,-0.2667,0
"SE633989-140731","Station","pH",0,0.9037,3.434e-4,0
"SE633989-140731","Station","Lättillgänglig fosfor",-1,5e-4,-0.07843,0
"SE633989-140731","Station","Kisel",1,0.0022,22.07,0
