"VattenID","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år","Andel regionala data","Nationell","Typ"
"SE619626-135565","Station","Klorofyll a",-1,5e-4,-0.9462,1,0,"Sjö"
"SE619810-135900","Station","Klorofyll a",-1,0,-1,1,0,"Sjö"
"SE619810-135450","Station","Klorofyll a",-1,0.0042,-0.7862,1,0,"Sjö"
"SE664485-150918","Station","Klorofyll a",0,0.2868,-0.052,1,0,"Sjö"
"SE666429-146783","Station","Klorofyll a",0,0.1949,0.0259,1,0,"Sjö"
"SE666743-148287","Station","Klorofyll a",-1,4e-4,-0.15,1,0,"Sjö"
"SE662002-152205","Station","Klorofyll a",0,0.8845,-0.0133,1,0,"Sjö"
"SE667245-146795","Station","Klorofyll a",0,0.0709,-0.0775,1,0,"Sjö"
"SE665524-149173","Station","Klorofyll a",0,0.0943,-0.1,1,0,"Sjö"
"SE665078-150205","Station","Klorofyll a",0,0.2214,-0.1176,1,0,"Sjö"
"SE623865-141777","Station","Total biovolym växtplankton",1,0,0.0212,1,0,"Sjö"
"SE623865-141777","Station","Klorofyll a",0,0.0828,0.0458,1,0,"Sjö"
"SE623875-140890","Station","Total biovolym växtplankton",1,0,0.0127,1,0,"Sjö"
"SE623875-140890","Station","Klorofyll a",0,0.1023,0.025,1,0,"Sjö"
"SE622080-141495","Station","Total biovolym växtplankton",1,0,0.0191,1,0,"Sjö"
"SE622080-141495","Station","Klorofyll a",0,0.8868,-0,1,0,"Sjö"
"SE622030-141820","Station","Total biovolym växtplankton",1,0,0.0196,1,0,"Sjö"
"SE622030-141820","Station","Klorofyll a",0,0.1371,-0.0333,1,0,"Sjö"
"SE621920-140815","Station","Total biovolym växtplankton",1,0,0.2029,1,0,"Sjö"
"SE621920-140815","Station","Klorofyll a",0,0.0856,0.1591,1,0,"Sjö"
"SE625110-138830","Station","Klorofyll a",1,1e-4,0.4606,1,0,"Sjö"
"SE623720-141480","Station","Total biovolym växtplankton",1,0,0.015,1,0,"Sjö"
"SE651196-137852","Station","Klorofyll a",1,2e-4,0.05,1,0,"Sjö"
"SE651817-138798","Station","Klorofyll a",0,0.1366,0.0278,1,0,"Sjö"
"SE633989-140731","Station","Total biovolym växtplankton",0,0.7982,0.0034,0,0,"Sjö"
"SE633989-140731","Station","Bentiskt kvalitetsindex",-1,0,-0.0484,0,0,"Sjö"
"SE633989-140731","Station","Total biovolym cyanobakterier",0,0.0786,-1e-4,0,0,"Sjö"
"SE642489-151724","Station","Total biovolym växtplankton",1,0.0178,0.0038,0,0,"Sjö"
"SE642489-151724","Station","Bentiskt kvalitetsindex",-1,0.0128,-0.0098,0,0,"Sjö"
"SE642489-151724","Station","Total biovolym cyanobakterier",1,0,0.0011,0,0,"Sjö"
