"VattenID","MS_CD","Stationskoordinat E/Y","Stationskoordinat N/X","Vattenkategori","VariabelID","Bedömningsår","Årsvärde","Standardfel","Trendvärde","Antal provtagningstillfällen","Andel regionala data"
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2004,6.6,,6.310295422159626,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2005,5.8,,6.1925587516896075,2,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2006,5.9,,6.1037593363436455,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2007,6.5,,6.042726238691019,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2008,6,,6.002282478374889,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2009,5.6,,5.98630740367748,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2010,6.4,,5.995483739445709,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2011,5.7,,6.028388538061755,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2012,6.2,,6.0849070508934116,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2013,6,,6.16346362350677,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2014,6.4,,6.260778286946539,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2015,6.5,,6.3722125618008745,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2016,6.3,,6.495951232521874,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2017,6.3,,6.631478147175294,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2018,7,,6.774743698486105,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2019,6.8,,6.91395738514435,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",2020,7.4,,7.040706105080947,1,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",2000,7.0835,,6.877800082938954,2,0
