"VattenID","MS_CD","Stationskoordinat E/Y","Stationskoordinat N/X","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år"
"SE696000-156850","WA55967934",609594,6958958,"Station","ACID",1,0.0237,0.0679
"SE696000-156850","WA55967934",609594,6958958,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.7339,0.0066
"SE696000-156850","WA55967934",609594,6958958,"Station","DJ",0,0.794,-0
"SE696000-156850","WA55967934",609594,6958958,"Station","IPS",0,0.9633,0
"SE696000-156850","WA55967934",609594,6958958,"Station","MISA",0,0.2444,-0.3523
"SE753460-165285","WA34033118",686567,7534424,"Station","ACID",0,0.0714,-0.0536
"SE753460-165285","WA34033118",686567,7534424,"Station","IPS",0,0.3282,0.0143
"SE739283-163835","WA60052782",673913,7392516,"Station","ACID",0,0.4042,-0.0757
"SE739283-163835","WA60052782",673913,7392516,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.2865,0.0047
"SE739283-163835","WA60052782",673913,7392516,"Station","DJ",0,0.8528,0
"SE739283-163835","WA60052782",673913,7392516,"Station","IPS",0,0.5256,0.0139
"SE739283-163835","WA60052782",673913,7392516,"Station","MISA",0,0.0936,0.6988
"SE651076-124118","WA36556832",287970,6505955,"Station","ACID",0,0.6841,-0.025
"SE651076-124118","WA36556832",287970,6505955,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,1,1e-4
"SE651076-124118","WA36556832",287970,6505955,"Station","DJ",0,0.063,-0.0627
"SE651076-124118","WA36556832",287970,6505955,"Station","IPS",0,0.0644,0.1667
"SE651076-124118","WA36556832",287970,6505955,"Station","MISA",0,0.1226,0.5123
"SE697717-139085","WA11914890",431604,6974774,"Station","ACID",0,1,0
"SE697717-139085","WA11914890",431604,6974774,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.9605,3e-4
"SE697717-139085","WA11914890",431604,6974774,"Station","DJ",0,0.7441,-0
"SE697717-139085","WA11914890",431604,6974774,"Station","IPS",0,0.3491,0
"SE697717-139085","WA11914890",431604,6974774,"Station","MISA",0,0.0752,-0.7221
"SE700012-140354","WA38611588",444226,6996523,"Station","ACID",0,0.7179,-0.02
"SE700012-140354","WA38611588",444226,6996523,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.6207,0.0042
"SE700012-140354","WA38611588",444226,6996523,"Station","DJ",1,0.0173,
"SE700012-140354","WA38611588",444226,6996523,"Station","IPS",0,0.2368,-0.02
"SE700012-140354","WA38611588",444226,6996523,"Station","MISA",0,1,0.0318
"SE728070-165120","WA66448021",688201,7280589,"Station","ACID",0,0.5846,-0.05
"SE728070-165120","WA66448021",688201,7280589,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,1,-0
"SE728070-165120","WA66448021",688201,7280589,"Station","DJ",-1,0.0295,-0.0714
"SE728070-165120","WA66448021",688201,7280589,"Station","IPS",-1,0.0078,-0.0167
"SE728070-165120","WA66448021",688201,7280589,"Station","MISA",0,0.0627,-0.8838
"SE626878-134788","WA83666955",397471,6265410,"Station","ACID",-1,0.0321,-0.1077
"SE626878-134788","WA83666955",397471,6265410,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.3738,-0.0201
"SE626878-134788","WA83666955",397471,6265410,"Station","DJ",0,1,0
"SE626878-134788","WA83666955",397471,6265410,"Station","IPS",0,0.4107,-0
"SE626878-134788","WA83666955",397471,6265410,"Station","MISA",0,0.0872,1.2624
"SE718265-171875","WA95930698",756984,7183432,"Station","ACID",0,0.1705,-0.1
"SE718265-171875","WA95930698",756984,7183432,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.6803,0.0024
"SE718265-171875","WA95930698",756984,7183432,"Station","DJ",0,0.1288,0
"SE718265-171875","WA95930698",756984,7183432,"Station","IPS",0,1,-0
"SE718265-171875","WA95930698",756984,7183432,"Station","MISA",0,0.1358,0.4901
"SE666881-151821","WA11915510",562922,6667267,"Station","ACID",0,0.7834,0.0121
"SE666881-151821","WA11915510",562922,6667267,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,1,0.009
"SE666881-151821","WA11915510",562922,6667267,"Station","DJ",0,0.2362,-0
"SE666881-151821","WA11915510",562922,6667267,"Station","IPS",0,0.1966,0.0155
"SE666881-151821","WA11915510",562922,6667267,"Station","MISA",0,0.7615,0.6335
"SE627958-134477","WA56955874",395597,6270925,"Station","ACID",0,0.5546,-0.0207
"SE627958-134477","WA56955874",395597,6270925,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",1,0.0411,0.0238
"SE627958-134477","WA56955874",395597,6270925,"Station","DJ",1,0.0029,0.0955
"SE627958-134477","WA56955874",395597,6270925,"Station","IPS",0,0.0866,0
"SE627958-134477","WA56955874",395597,6270925,"Station","MISA",0,0.6185,0.2023
"SE641475-147365","WA86777326",521446,6412786,"Station","ACID",0,0.9119,-0
"SE641475-147365","WA86777326",521446,6412786,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.5841,0.0155
"SE641475-147365","WA86777326",521446,6412786,"Station","DJ",-1,0.0454,
"SE641475-147365","WA86777326",521446,6412786,"Station","IPS",0,0.4075,-0.0222
"SE641475-147365","WA86777326",521446,6412786,"Station","MISA",1,0.0015,2.6518
"SE632137-147160","WA45416248",520504,6319426,"Station","ACID",0,1,-0
"SE632137-147160","WA45416248",520504,6319426,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.8694,0.0064
"SE632137-147160","WA45416248",520504,6319426,"Station","DJ",0,0.3363,0.1
"SE632137-147160","WA45416248",520504,6319426,"Station","IPS",0,0.319,-0
"SE632137-147160","WA45416248",520504,6319426,"Station","MISA",1,0.0031,2.2668
"SE688175-137882","WA21788276",420985,6878341,"Station","ACID",0,0.1001,-0.0375
"SE688175-137882","WA21788276",420985,6878341,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.4285,-0.0124
"SE688175-137882","WA21788276",420985,6878341,"Station","DJ",0,0.1066,-0
"SE688175-137882","WA21788276",420985,6878341,"Station","IPS",0,0.7257,-0
"SE688175-137882","WA21788276",420985,6878341,"Station","MISA",-1,0.0101,-0.6852
"SE664297-136937","WA63487998",415412,6639738,"Station","ACID",1,0.0158,0.1091
"SE664297-136937","WA63487998",415412,6639738,"Station","Generell påverkan på bottenfauna i sötvatten (ASPT)",0,0.1124,0.0223
"SE664297-136937","WA63487998",415412,6639738,"Station","DJ",0,0.1376,-0
"SE664297-136937","WA63487998",415412,6639738,"Station","IPS",0,0.1137,0.025
"SE664297-136937","WA63487998",415412,6639738,"Station","MISA",0,0.5846,-0.2114
