VattenID,MS_CD,Stationskoordinat E/Y,Stationskoordinat N/X,Vattenkategori,VariabelID,Trendens signifikans,p-värde,Medianförändring per år,Typ,Nationell
SE758793-162214,WA37110481,655172,7587333,Station,Brunhet,0,0.4381,0,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Alkalinitet,1,0,0.0014,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Kadmium i vatten,-1,0.0055,,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Kvicksilver i vatten,0,0.604,0.0013,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Konduktivitet,1,0,0.0375,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Nickel i vatten,0,0.6412,-9.00E-04,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Oorganiskt kväve,-1,2.00E-04,-0.3913,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Bly i vatten,-1,0,-8.00E-04,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Lättillgänglig fosfor,-1,0,-0.0156,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Kisel,1,0.0114,,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Sulfat,1,0,0.0465,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Totalt organiskt kol,0,0.5344,0,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Totalkväve,-1,0,-1.4375,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Totalfosfor,-1,0,-0.1818,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,Temperatur - vår,0,0.0868,-0.17,Vattendrag,1
SE758793-162214,WA37110481,655172,7587333,Station,pH,0,0.1007,0.0012,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Brunhet,1,0.004,0.0031,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Alkalinitet,0,0.941,0,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Kadmium i vatten,0,0.4349,0,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Konduktivitet,-1,0.0267,-0.0137,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Oorganiskt kväve,-1,0,-0.6429,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Bly i vatten,0,0.062,0.002,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Lättillgänglig fosfor,-1,0.044,-0.0556,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Kisel,0,0.0654,0,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Sulfat,-1,0,-0.02,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Totalt organiskt kol,1,0.0088,0.14,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Totalkväve,0,0.2016,-1.3333,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Totalfosfor,0,0.3193,-0.0174,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,Temperatur - vår,1,0.0316,0.125,Vattendrag,1
SE696000-156850,WA55967934,609594,6958958,Station,pH,0,0.1385,-0.0023,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Brunhet,0,0.7421,0,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Alkalinitet,1,0.0461,9.00E-04,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Konduktivitet,0,0.244,-0.0057,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Oorganiskt kväve,-1,1.00E-04,-0.3462,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Lättillgänglig fosfor,-1,0.0462,-0.0714,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Kisel,1,0.0211,,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Sulfat,-1,0.0155,-0.0045,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Totalt organiskt kol,-1,0.0376,-0.0151,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Totalkväve,-1,0,-8.3943,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Totalfosfor,-1,1.00E-04,-0.1667,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,Temperatur - vår,0,0.8064,0.05,Vattendrag,1
SE753460-165285,WA34033118,686567,7534424,Station,pH,1,0.0136,0.0047,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Brunhet,1,0.0014,9.00E-04,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Alkalinitet,1,1.00E-04,0.0019,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Kadmium i vatten,-1,1.00E-04,-1.00E-04,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Konduktivitet,0,0.5301,-0.0069,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Nickel i vatten,-1,3.00E-04,-0.008,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Oorganiskt kväve,0,0.4425,0.2353,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Bly i vatten,0,0.4872,-6.00E-04,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Lättillgänglig fosfor,0,0.8688,0,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Kisel,1,0.0014,,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Sulfat,-1,0,-0.0572,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Totalt organiskt kol,1,0.0025,0.1389,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Totalkväve,0,0.9433,-0.0833,Vattendrag,1
SE651375-154304,WA51800039,589620,6512573,Station,Totalfosfor,0,0.7986,0,Vattendrag,1
