"VattenID","Vattenkategori","VariabelID","Bedömningsår","Årsvärde","Standardfel","Trendvärde","Antal provtagningstillfällen","Andel regionala data"
"SE619626-135565","Station","Klorofyll a",1975,63.666666666666664,,95.2921345810984,9,1
"SE619626-135565","Station","Klorofyll a",1976,44,,93.77348205784313,2,1
"SE619626-135565","Station","Klorofyll a",1977,73,,92.25466035069934,1,1
"SE619626-135565","Station","Klorofyll a",1978,218.5,,90.7355470224849,2,1
"SE619626-135565","Station","Klorofyll a",1979,231,,89.21611851927304,2,1
"SE619626-135565","Station","Klorofyll a",1980,91,,87.69641941528734,2,1
"SE619626-135565","Station","Klorofyll a",1981,122.14999999999999,,86.17651113079677,2,1
"SE619626-135565","Station","Klorofyll a",1982,23.5,,84.65646103910339,2,1
"SE619626-135565","Station","Klorofyll a",1983,13.5,,83.1363480683111,2,1
"SE619626-135565","Station","Klorofyll a",1984,127.85499999999999,,81.6162485458392,2,1
"SE619626-135565","Station","Klorofyll a",1986,102.85,,78.57630010362367,2,1
"SE619626-135565","Station","Klorofyll a",1987,58.25,,77.05653960924805,2,1
"SE619626-135565","Station","Klorofyll a",1988,47.25,,75.5370072450986,2,1
"SE619626-135565","Station","Klorofyll a",1989,104.55,,74.01777268219612,2,1
"SE619626-135565","Station","Klorofyll a",1990,29.45,,72.49888239996612,2,1
"SE619626-135565","Station","Klorofyll a",1991,38.410000000000004,,70.98037418475968,2,1
"SE619626-135565","Station","Klorofyll a",1992,44.55,,69.46229449263785,2,1
"SE619626-135565","Station","Klorofyll a",1994,51.75,,66.42755006839097,2,1
"SE619626-135565","Station","Klorofyll a",1995,21.35,,64.9109021830826,2,1
"SE619626-135565","Station","Klorofyll a",1996,55.4,,63.39474049742673,2,1
"SE619626-135565","Station","Klorofyll a",1997,59,,61.87906460487389,2,1
"SE619626-135565","Station","Klorofyll a",1998,48.5,,60.36386212554103,2,1
"SE619626-135565","Station","Klorofyll a",1999,45,,58.84910705495799,2,1
"SE619626-135565","Station","Klorofyll a",2000,44,,57.33477280768571,2,1
"SE619626-135565","Station","Klorofyll a",2001,59,,55.820837527326276,1,1
"SE619626-135565","Station","Klorofyll a",2002,57.5,,54.30727265262981,2,1
"SE619626-135565","Station","Klorofyll a",2003,73,,52.79403786273187,2,1
"SE619626-135565","Station","Klorofyll a",2004,48,,51.28109648228552,2,1
"SE619626-135565","Station","Klorofyll a",2005,92.5,,49.76842894170271,2,1
"SE619626-135565","Station","Klorofyll a",2006,44,,48.256023764010855,1,1
"SE619626-135565","Station","Klorofyll a",2007,56,,46.743864539339,2,1
"SE619626-135565","Station","Klorofyll a",2008,44.5,,45.23193740747884,2,1
"SE619626-135565","Station","Klorofyll a",2009,34,,43.720243738492755,2,1
"SE619626-135565","Station","Klorofyll a",2010,50.5,,42.20878960073295,2,1
"SE619626-135565","Station","Klorofyll a",2011,46.5,,40.69756581120146,2,1
"SE619626-135565","Station","Klorofyll a",2012,36,,39.18655500667231,2,1
"SE619626-135565","Station","Klorofyll a",2013,28.5,,37.67575693734011,2,1
"SE619626-135565","Station","Klorofyll a",2014,53,,36.16518555690812,2,1
"SE619626-135565","Station","Klorofyll a",2015,32,,34.65483698723902,2,1
"SE619626-135565","Station","Klorofyll a",2016,35,,33.144686274924084,2,1
"SE619626-135565","Station","Klorofyll a",2017,33,,31.63473057225066,2,1
"SE619626-135565","Station","Klorofyll a",2018,29,,30.125005773483196,2,1
"SE619626-135565","Station","Klorofyll a",2019,23,,28.615521192433317,2,1
"SE619626-135565","Station","Klorofyll a",2020,31.5,,27.106189247258307,2,1
"SE619810-135900","Station","Klorofyll a",1975,76.77777777777777,,77.10774542810951,9,1
"SE619810-135900","Station","Klorofyll a",1976,121,,76.35964248416212,2,1
"SE619810-135900","Station","Klorofyll a",1977,98,,75.61153450877788,1,1
"SE619810-135900","Station","Klorofyll a",1978,63,,74.86341890236753,2,1
"SE619810-135900","Station","Klorofyll a",1979,69,,74.11529660345471,2,1
"SE619810-135900","Station","Klorofyll a",1980,68.5,,73.36716958990789,2,1
"SE619810-135900","Station","Klorofyll a",1981,145.14999999999998,,72.61903858126942,2,1
"SE619810-135900","Station","Klorofyll a",1982,23.5,,71.87090363913578,2,1
"SE619810-135900","Station","Klorofyll a",1983,31,,71.12276567355013,2,1
"SE619810-135900","Station","Klorofyll a",1984,58.81,,70.37462621583586,2,1
"SE619810-135900","Station","Klorofyll a",1986,98.15,,68.87834510899324,2,1
"SE619810-135900","Station","Klorofyll a",1987,52.95,,68.1302031618836,2,1
"SE619810-135900","Station","Klorofyll a",1988,57.35,,67.3820610509842,2,1
"SE619810-135900","Station","Klorofyll a",1989,74.44999999999999,,66.6339196712184,2,1
"SE619810-135900","Station","Klorofyll a",1990,57.239999999999995,,65.88577909316912,2,1
"SE619810-135900","Station","Klorofyll a",1991,70.64999999999999,,65.13763918218973,2,1
"SE619810-135900","Station","Klorofyll a",1992,30.39,,64.38950046498894,1,1
"SE619810-135900","Station","Klorofyll a",1994,54.949999999999996,,62.89322842192787,2,1
"SE619810-135900","Station","Klorofyll a",1995,36,,62.14509460594029,2,1
"SE619810-135900","Station","Klorofyll a",1996,53.5,,61.39696175973303,2,1
"SE619810-135900","Station","Klorofyll a",1997,53,,60.648829625821136,2,1
"SE619810-135900","Station","Klorofyll a",1998,58,,59.90069770493729,2,1
"SE619810-135900","Station","Klorofyll a",1999,43.5,,59.15256504535768,2,1
"SE619810-135900","Station","Klorofyll a",2000,48.5,,58.404430632879446,2,1
"SE619810-135900","Station","Klorofyll a",2001,110,,57.65629369854422,1,1
"SE619810-135900","Station","Klorofyll a",2002,82.5,,56.90815351329731,2,1
"SE619810-135900","Station","Klorofyll a",2003,99,,56.16000933089402,2,1
"SE619810-135900","Station","Klorofyll a",2004,60,,55.41186090757748,2,1
"SE619810-135900","Station","Klorofyll a",2005,52,,54.663708799711706,2,1
"SE619810-135900","Station","Klorofyll a",2006,41,,53.91555377355717,1,1
"SE619810-135900","Station","Klorofyll a",2007,49.5,,53.167396133108674,2,1
"SE619810-135900","Station","Klorofyll a",2008,50.5,,52.4192359596661,2,1
"SE619810-135900","Station","Klorofyll a",2009,38,,51.6710736712065,2,1
"SE619810-135900","Station","Klorofyll a",2010,39,,50.92290976544034,2,1
"SE619810-135900","Station","Klorofyll a",2011,185,,50.17474424455541,2,1
"SE619810-135900","Station","Klorofyll a",2012,34,,49.42657710575834,2,1
"SE619810-135900","Station","Klorofyll a",2013,41.5,,48.67840948089068,2,1
"SE619810-135900","Station","Klorofyll a",2014,46,,47.930243488128454,2,1
"SE619810-135900","Station","Klorofyll a",2015,22,,47.18208069362889,2,1
"SE619810-135900","Station","Klorofyll a",2016,36,,46.43392158285046,2,1
"SE619810-135900","Station","Klorofyll a",2017,25.5,,45.685767027436185,2,1
"SE619810-135900","Station","Klorofyll a",2018,29,,44.93761908135766,2,1
"SE619810-135900","Station","Klorofyll a",2019,29.5,,44.18947878459092,2,1
"SE619810-135900","Station","Klorofyll a",2020,26,,43.44134357898218,2,1
"SE619810-135450","Station","Klorofyll a",1975,40.666666666666664,,76.26073403533852,9,1
"SE619810-135450","Station","Klorofyll a",1976,99,,75.4469676457819,2,1
"SE619810-135450","Station","Klorofyll a",1977,74,,74.63319760069994,1,1
"SE619810-135450","Station","Klorofyll a",1978,88,,73.81942169395786,2,1
"SE619810-135450","Station","Klorofyll a",1979,108,,73.00563997902343,2,1
"SE619810-135450","Station","Klorofyll a",1980,44.5,,72.19185328447371,2,1
"SE619810-135450","Station","Klorofyll a",1981,172.35,,71.37806184597838,2,1
"SE619810-135450","Station","Klorofyll a",1982,64.5,,70.56426578608104,2,1
"SE619810-135450","Station","Klorofyll a",1983,17,,69.7504660937845,2,1
"SE619810-135450","Station","Klorofyll a",1984,40.05,,68.93666433137614,2,1
"SE619810-135450","Station","Klorofyll a",1986,75.4,,67.30905772932124,2,1
"SE619810-135450","Station","Klorofyll a",1987,55.5,,66.49525304739902,2,1
"SE619810-135450","Station","Klorofyll a",1988,69.19999999999999,,65.68144797455432,2,1
"SE619810-135450","Station","Klorofyll a",1989,81.385,,64.8676431027361,2,1
"SE619810-135450","Station","Klorofyll a",1990,51.17999999999999,,64.05383862276835,2,1
"SE619810-135450","Station","Klorofyll a",1991,61.730000000000004,,63.24003466616753,2,1
"SE619810-135450","Station","Klorofyll a",1992,40.665,,62.42623175826255,2,1
"SE619810-135450","Station","Klorofyll a",1994,49.5,,60.798630725847296,2,1
"SE619810-135450","Station","Klorofyll a",1995,30.45,,59.984832467072785,2,1
"SE619810-135450","Station","Klorofyll a",1996,56.4,,59.1710354456021,2,1
"SE619810-135450","Station","Klorofyll a",1997,41.5,,58.35723941124393,2,1
"SE619810-135450","Station","Klorofyll a",1998,52,,57.543443842933776,2,1
"SE619810-135450","Station","Klorofyll a",1999,57,,56.72964787146695,2,1
"SE619810-135450","Station","Klorofyll a",2000,47,,55.91585059270944,2,1
"SE619810-135450","Station","Klorofyll a",2001,63,,55.10205126079857,1,1
"SE619810-135450","Station","Klorofyll a",2002,79.5,,54.288249086571156,2,1
"SE619810-135450","Station","Klorofyll a",2003,96.5,,53.474443159995346,2,1
"SE619810-135450","Station","Klorofyll a",2004,54,,52.660632863274074,2,1
"SE619810-135450","Station","Klorofyll a",2005,85,,51.84681822612148,2,1
"SE619810-135450","Station","Klorofyll a",2006,41,,51.03299964498666,1,1
"SE619810-135450","Station","Klorofyll a",2007,54,,50.21917739777953,2,1
"SE619810-135450","Station","Klorofyll a",2008,54,,49.40535169874433,2,1
"SE619810-135450","Station","Klorofyll a",2009,66.5,,48.591523075634285,2,1
"SE619810-135450","Station","Klorofyll a",2010,50.5,,47.77769230543406,2,1
"SE619810-135450","Station","Klorofyll a",2011,57.5,,46.96386000776475,2,1
"SE619810-135450","Station","Klorofyll a",2012,41,,46.15002669757397,2,1
"SE619810-135450","Station","Klorofyll a",2013,39.5,,45.33619326380779,2,1
"SE619810-135450","Station","Klorofyll a",2014,50,,44.522360916493795,2,1
"SE619810-135450","Station","Klorofyll a",2015,28.5,,43.708530480007454,2,1
"SE619810-135450","Station","Klorofyll a",2016,35,,42.89470222956099,2,1
"SE619810-135450","Station","Klorofyll a",2017,21,,42.08087673811594,2,1
"SE619810-135450","Station","Klorofyll a",2018,58,,41.26705524890304,2,1
"SE619810-135450","Station","Klorofyll a",2019,22,,40.45323834404921,2,1
"SE619810-135450","Station","Klorofyll a",2020,22.5,,39.639424466466856,2,1
"SE664485-150918","Station","Klorofyll a",1978,13.1,,11.0052030248833,1,1
"SE664485-150918","Station","Klorofyll a",1979,5.8,,11.005222304561224,1,1
"SE664485-150918","Station","Klorofyll a",1980,11.2,,11.005240408404733,2,1
"SE664485-150918","Station","Klorofyll a",1981,16.5,,11.005256574979942,1,1
"SE664485-150918","Station","Klorofyll a",1982,8,,11.005270780057993,1,1
"SE664485-150918","Station","Klorofyll a",1983,12,,11.005283322309289,1,1
"SE664485-150918","Station","Klorofyll a",1984,4.9,,11.005294272091916,1,1
"SE664485-150918","Station","Klorofyll a",1985,5.3,,11.005303437834398,1,1
"SE664485-150918","Station","Klorofyll a",1986,7.4,,11.005310677866664,1,1
"SE664485-150918","Station","Klorofyll a",1987,9.2,,11.005316007999706,2,1
"SE664485-150918","Station","Klorofyll a",1988,18,,11.005319398346693,1,1
"SE664485-150918","Station","Klorofyll a",1989,11,,11.005320642221385,1,1
"SE664485-150918","Station","Klorofyll a",1990,8.5,,11.005319514105116,1,1
"SE664485-150918","Station","Klorofyll a",1991,12,,11.00531595375162,1,1
"SE664485-150918","Station","Klorofyll a",1992,8.2,,11.005309980995843,1,1
"SE664485-150918","Station","Klorofyll a",1993,7.4,,11.005301478041611,1,1
"SE664485-150918","Station","Klorofyll a",1994,13,,11.005290184771505,1,1
"SE664485-150918","Station","Klorofyll a",1995,65,,11.005275931566922,1,1
"SE664485-150918","Station","Klorofyll a",1996,1.1,,11.005258794933466,1,1
"SE664485-150918","Station","Klorofyll a",1997,15.4,,11.005239006026837,1,1
"SE664485-150918","Station","Klorofyll a",1998,13.2,,11.005216806249114,1,1
"SE664485-150918","Station","Klorofyll a",1999,11.8,,11.005192459820636,1,1
"SE664485-150918","Station","Klorofyll a",2000,8.4,,11.005166327190423,1,1
"SE664485-150918","Station","Klorofyll a",2001,11.5,,11.005138805056209,1,1
"SE664485-150918","Station","Klorofyll a",2002,8.5,,11.005110196282427,1,1
"SE664485-150918","Station","Klorofyll a",2003,8.8,,11.005080724987423,1,1
"SE664485-150918","Station","Klorofyll a",2004,8,,11.005050677289612,1,1
"SE664485-150918","Station","Klorofyll a",2005,6.6,,11.005020417501985,1,1
"SE664485-150918","Station","Klorofyll a",2006,8.7,,11.004990222380828,1,1
