"VattenID","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år","Andel regionala data"
"SE619626-135565","Station","Klorofyll a",-1,5e-4,-0.9462,1
"SE619810-135900","Station","Klorofyll a",-1,0,-1,1
"SE619810-135450","Station","Klorofyll a",-1,0.0042,-0.7862,1
"SE664485-150918","Station","Klorofyll a",0,0.2868,-0.052,1
"SE666429-146783","Station","Klorofyll a",0,0.1949,0.0259,1
"SE666743-148287","Station","Klorofyll a",-1,4e-4,-0.15,1
"SE662002-152205","Station","Klorofyll a",0,0.8845,-0.0133,1
"SE667245-146795","Station","Klorofyll a",0,0.0709,-0.0775,1
"SE665524-149173","Station","Klorofyll a",0,0.0943,-0.1,1
"SE665078-150205","Station","Klorofyll a",0,0.2214,-0.1176,1
"SE623865-141777","Station","Total biovolym växtplankton",1,0,0.0212,1
"SE623865-141777","Station","Klorofyll a",0,0.0828,0.0458,1
"SE623875-140890","Station","Total biovolym växtplankton",1,0,0.0127,1
"SE623875-140890","Station","Klorofyll a",0,0.1023,0.025,1
"SE622080-141495","Station","Total biovolym växtplankton",1,0,0.0191,1
"SE622080-141495","Station","Klorofyll a",0,0.8868,-0,1
"SE622030-141820","Station","Total biovolym växtplankton",1,0,0.0196,1
"SE622030-141820","Station","Klorofyll a",0,0.1371,-0.0333,1
"SE621920-140815","Station","Total biovolym växtplankton",1,0,0.2029,1
"SE621920-140815","Station","Klorofyll a",0,0.0856,0.1591,1
"SE625110-138830","Station","Klorofyll a",1,1e-4,0.4606,1
"SE623720-141480","Station","Total biovolym växtplankton",1,0,0.015,1
"SE651196-137852","Station","Klorofyll a",1,2e-4,0.05,1
"SE651817-138798","Station","Klorofyll a",0,0.1366,0.0278,1
"SE633989-140731","Station","Total biovolym växtplankton",0,0.7982,0.0034,0
"SE633989-140731","Station","Bentiskt kvalitetsindex",-1,0,-0.0484,0
"SE633989-140731","Station","Total biovolym cyanobakterier",0,0.0786,-1e-4,0
"SE642489-151724","Station","Total biovolym växtplankton",1,0.0178,0.0038,0
"SE642489-151724","Station","Bentiskt kvalitetsindex",-1,0.0128,-0.0098,0
"SE642489-151724","Station","Total biovolym cyanobakterier",1,0,0.0011,0
"SE728095-175926","Station","Total biovolym växtplankton",1,9e-4,0.0097,0
"SE728095-175926","Station","Total biovolym cyanobakterier",0,1,-0,0
"NW627437-149509","Station","Total biovolym växtplankton",1,0.0336,0.0037,0
"NW627437-149509","Station","Bentiskt kvalitetsindex",0,0.1067,-0,0
"NW627437-149509","Station","Total biovolym cyanobakterier",1,0.025,5e-4,0
"SE658086-130264","Station","Total biovolym växtplankton",1,1e-4,0.033,0
"SE658086-130264","Station","Bentiskt kvalitetsindex",-1,0,-0.0139,0
"SE658086-130264","Station","Total biovolym cyanobakterier",0,0.6928,0,0
"NW645343-128665","Station","Total biovolym växtplankton",1,0.0073,0.0186,0
"NW645343-128665","Station","Bentiskt kvalitetsindex",0,0.0925,-0.0011,0
"NW645343-128665","Station","Total biovolym cyanobakterier",0,0.2152,-0.001,0
"SE651578-146163","Station","Total biovolym växtplankton",0,0.1061,0.0108,0
"SE651578-146163","Station","Bentiskt kvalitetsindex",-1,0.0013,-0.0048,0
"SE651578-146163","Station","Total biovolym cyanobakterier",0,0.1231,-0.0019,0
"SE635878-137392","Station","Total biovolym växtplankton",1,0.0293,0.0093,0
"SE635878-137392","Station","Bentiskt kvalitetsindex",-1,0.0192,,0
"SE635878-137392","Station","Total biovolym cyanobakterier",0,0.4064,-1e-4,0
"SE632231-136476","Station","Total biovolym växtplankton",-1,0.0364,-0.0263,0
"SE632231-136476","Station","Bentiskt kvalitetsindex",-1,0.0089,-0.0336,0
"SE632231-136476","Station","Total biovolym cyanobakterier",0,0.6407,0,0
"SE650061-142276","Station","Total biovolym växtplankton",1,1e-4,0.0221,0
"SE650061-142276","Station","Bentiskt kvalitetsindex",-1,0.0014,-0.0128,0
"SE650061-142276","Station","Total biovolym cyanobakterier",1,3e-4,0.0021,0
"SE665654-149206","Station","Total biovolym växtplankton",0,0.1475,0.0075,0
"SE665654-149206","Station","Bentiskt kvalitetsindex",-1,0.014,,0
"SE665654-149206","Station","Total biovolym cyanobakterier",1,0.0437,0.0011,0
"SE663532-148571","Station","Total biovolym växtplankton",1,1e-4,0.0075,0
"SE663532-148571","Station","Bentiskt kvalitetsindex",0,0.4284,-4e-4,0
"SE663532-148571","Station","Total biovolym cyanobakterier",1,0.0092,3e-4,0
"SE708619-162132","Station","Total biovolym växtplankton",1,1e-4,0.0052,0
"SE708619-162132","Station","Bentiskt kvalitetsindex",0,0.1822,-0,0
"SE708619-162132","Station","Total biovolym cyanobakterier",1,0.0048,1e-4,0
"NW652888-125811","Station","Total biovolym växtplankton",-1,0.0158,-0.0274,0
"NW652888-125811","Station","Bentiskt kvalitetsindex",0,0.2581,-0.0044,0
"NW652888-125811","Station","Total biovolym cyanobakterier",1,0.004,1e-4,0
"SE624421-147234","Station","Total biovolym växtplankton",0,0.0534,-0.0247,0
"SE624421-147234","Station","Total biovolym cyanobakterier",1,0.0394,4e-4,0
"SE651573-152481","Station","Total biovolym växtplankton",0,0.2355,0.0039,0
"SE651573-152481","Station","Bentiskt kvalitetsindex",0,0.091,-0,0
"SE651573-152481","Station","Total biovolym cyanobakterier",1,0,3e-4,0
"SE628606-133205","Station","Total biovolym växtplankton",1,0.002,0.0113,0
"SE628606-133205","Station","Bentiskt kvalitetsindex",1,0.009,0.0031,0
"SE628606-133205","Station","Total biovolym cyanobakterier",1,1e-4,0.0012,0
"SE683673-154083","Station","Total biovolym växtplankton",0,0.2942,0.0018,0
"SE683673-154083","Station","Bentiskt kvalitetsindex",0,0.5642,4e-4,0
"SE683673-154083","Station","Total biovolym cyanobakterier",1,1e-4,0.001,0
"SE655605-158820","Station","Total biovolym växtplankton",1,0,0.0147,0
"SE655605-158820","Station","Bentiskt kvalitetsindex",-1,0.0037,-0.0341,0
"SE655605-158820","Station","Total biovolym cyanobakterier",1,1e-4,0.0027,0
"SE631360-146750","Station","Total biovolym växtplankton",0,0.0608,-0.0396,0
"SE631360-146750","Station","Bentiskt kvalitetsindex",-1,0.0033,-0.0444,0
"SE631360-146750","Station","Total biovolym cyanobakterier",1,0,1e-4,0
"SE633025-142267","Station","Total biovolym växtplankton",1,0,0.0185,0
"SE633025-142267","Station","Total biovolym cyanobakterier",1,0,0.0018,0
"NW643960-127717","Station","Total biovolym växtplankton",1,0.009,0.005,0
"NW643960-127717","Station","Total biovolym cyanobakterier",1,0.0363,,0
"SE628535-140170","Station","Klorofyll a",0,1,0,1
"SE622130-134385","Station","Klorofyll a",0,0.094,-0.3674,1
"SE624660-133280","Station","Klorofyll a",0,0.0658,0.0875,1
"SE624740-132930","Station","Klorofyll a",1,0.0155,0.3536,1
"SE758208-161749","Station","Total biovolym växtplankton",1,0.0014,0.0013,0
"SE758208-161749","Station","Total biovolym cyanobakterier",0,0.2701,0,0
"SE633025-142267","Station","Bentiskt kvalitetsindex",0,0.4384,-0.0059,0
"NW643960-127717","Station","Bentiskt kvalitetsindex",0,0.213,-0.0304,0
"SE744629-167999","Station","Total biovolym växtplankton",1,2e-4,0.0072,0
"SE744629-167999","Station","Total biovolym cyanobakterier",0,0.5485,1e-4,0
"SE624421-147234","Station","Bentiskt kvalitetsindex",-1,0.0049,-0.0279,0
"SE685680-154705","Station","Klorofyll a",0,0.2236,0.0307,1
"SE731799-151196","Station","Total biovolym växtplankton",1,0.0018,0.0031,0
"SE731799-151196","Station","Bentiskt kvalitetsindex",0,0.1037,0.0049,0
"SE731799-151196","Station","Total biovolym cyanobakterier",0,0.8344,-0,0
"SE690345-149315","Station","Total biovolym växtplankton",1,7e-4,0.004,0
"SE690345-149315","Station","Total biovolym cyanobakterier",0,0.8647,-0,0
"SE688755-154770","Station","Klorofyll a",1,0.0349,0.1367,1
"SE688445-155275","Station","Klorofyll a",0,0.078,0.0845,1
"SE633790-147515","Station","Klorofyll a",0,0.2385,-0.3261,1
"SE652412-143738","Station","Bentiskt kvalitetsindex",0,0.4136,0.001,0
"SE656515-164330","Station","Bentiskt kvalitetsindex",0,0.5981,5e-4,0
"SE690345-149315","Station","Bentiskt kvalitetsindex",0,1,0,0
"SE670225-150958","Station","Total biovolym växtplankton",0,0.6833,-0.0193,1
"SE670225-150958","Station","Total biovolym cyanobakterier",0,0.3954,-0.0024,1
"SE630250-143760","Station","Klorofyll a",0,0.4644,-0.3836,1
"SE667900-152610","Station","Total biovolym växtplankton",0,0.083,-0.1125,1
"SE667900-152610","Station","Total biovolym cyanobakterier",0,0.7725,-7e-4,1
"SE667072-153125","Station","Total biovolym växtplankton",0,0.622,0.006,1
"SE667072-153125","Station","Total biovolym cyanobakterier",0,0.1139,4e-4,1
"SE667285-152820","Station","Total biovolym växtplankton",0,0.7339,-0.0182,1
"SE667285-152820","Station","Total biovolym cyanobakterier",0,0.0716,0.0364,1
"SE680235-141799","Station","Bentiskt kvalitetsindex",0,1,-0,0
"SE728095-175926","Station","Bentiskt kvalitetsindex",-1,0.0038,-0.0015,0
"SE668410-150850","Station","Total biovolym växtplankton",0,0.1634,-0.623,1
