"VattenID","MS_CD","Stationskoordinat E/Y","Stationskoordinat N/X","Vattenkategori","VariabelID","Trendens signifikans","p-värde","Medianförändring per år"
"SE739283-163835","WA60052782",673913,7392516,"Station","Individtäthet alla bottendjur",0,0.7351,-3.0412
"SE739283-163835","WA60052782",673913,7392516,"Station","Individtäthet blötdjur",0,0.6295,-0
"SE739283-163835","WA60052782",673913,7392516,"Station","Individtäthet leddjur - insekter",0,0.7351,-3.3846
"SE739283-163835","WA60052782",673913,7392516,"Station","Individtäthet ringmaskar",1,0.0275,0.13
"SE696000-156850","WA55967934",609594,6958958,"Station","Individtäthet alla bottendjur",0,0.5376,9.7
"SE696000-156850","WA55967934",609594,6958958,"Station","Individtäthet blötdjur",0,0.6365,0
"SE696000-156850","WA55967934",609594,6958958,"Station","Individtäthet leddjur - insekter",0,0.5813,8.2917
"SE696000-156850","WA55967934",609594,6958958,"Station","Individtäthet ringmaskar",1,0.0124,1.4317
"SE700012-140354","WA38611588",444226,6996523,"Station","Individtäthet alla bottendjur",0,0.2342,-15.625
"SE700012-140354","WA38611588",444226,6996523,"Station","Individtäthet blötdjur",0,1,-0
"SE700012-140354","WA38611588",444226,6996523,"Station","Individtäthet leddjur - insekter",0,0.2342,-14.7778
"SE700012-140354","WA38611588",444226,6996523,"Station","Individtäthet ringmaskar",1,0.0101,0.6667
"SE718265-171875","WA95930698",756984,7183432,"Station","Individtäthet alla bottendjur",0,0.1558,10.8778
"SE718265-171875","WA95930698",756984,7183432,"Station","Individtäthet blötdjur",0,0.165,0
"SE718265-171875","WA95930698",756984,7183432,"Station","Individtäthet leddjur - insekter",0,0.1558,10.4817
"SE718265-171875","WA95930698",756984,7183432,"Station","Individtäthet ringmaskar",0,0.2901,0.2071
"SE627958-134477","WA56955874",395597,6270925,"Station","Individtäthet alla bottendjur",0,0.3468,20.3997
"SE627958-134477","WA56955874",395597,6270925,"Station","Individtäthet blötdjur",1,1e-4,2.8778
"SE627958-134477","WA56955874",395597,6270925,"Station","Individtäthet leddjur - insekter",0,0.4173,16.9324
"SE627958-134477","WA56955874",395597,6270925,"Station","Individtäthet ringmaskar",1,0.0113,4.059
"SE638561-141289","WA62510992",459056,6380306,"Station","Individtäthet alla bottendjur",1,0.0021,113.6917
"SE638561-141289","WA62510992",459056,6380306,"Station","Individtäthet blötdjur",0,0.8203,0.9033
"SE638561-141289","WA62510992",459056,6380306,"Station","Individtäthet leddjur - insekter",1,0.0032,100.4241
"SE638561-141289","WA62510992",459056,6380306,"Station","Individtäthet leddjur - kräftdjur",1,0.0457,1.1667
"SE638561-141289","WA62510992",459056,6380306,"Station","Individtäthet ringmaskar",1,0,9.2821
"SE630960-131620","WA55301346",365332,6305831,"Station","Individtäthet alla bottendjur",0,0.381,18.6967
"SE630960-131620","WA55301346",365332,6305831,"Station","Individtäthet blötdjur",0,0.8456,0.5333
